Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;RIO CLARO;MARIA INES ROSSI VALENCIO; 04.609.443/0001-35;AVENIDA 36A;621;;VILA ALEMA;13506-650;GLP;07/12/2023;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;NOVO HAMBURGO;NELSON ANTONIO LUBENOV; 06.369.372/0001-76;RUA RIO IGUACU;16;;LIBERDADE;93332-370;GLP;04/12/2023;92;;R$ / 13 kg;NACIONAL GÁS BUTANO
NE;BA;JACOBINA;HUGO BATISTA DE MEDEIROS EIRELI; 07.673.162/0002-10;AVENIDA ORLANDO OLIVEIRA PIRES;1396;;CAEIRA;44700-000;GLP;06/12/2023;120;;R$ / 13 kg;LIQUIGÁS
CO;GO;ANAPOLIS;COMERCIAL DE SECOS E MOLHADOS MINI PREÇO LTDA; 04.883.907/0001-05;RUA FLORIANO PEIXOTO;1738;;SETOR CENTRAL;75024-030;GLP;06/12/2023;100;;R$ / 13 kg;LIQUIGÁS
SE;SP;INDAIATUBA;DEPÓSITO BELO GAS LTDA - ME; 07.350.555/0001-02;RUA ANTONIO ANGELINO ROSSI;501;;JD. MORADA DA SOL;13348-290;GLP;07/12/2023;105;;R$ / 13 kg;BRANCA
S;PR;MARINGA;MARCELO LAZZARIM; 05.819.541/0001-60;AVENIDA CARLOS CORREA BORGES;3292;;JARDIM ATAMI;87062-202;GLP;05/12/2023;110;;R$ / 13 kg;SUPERGASBRAS ENERGIA
S;RS;PORTO ALEGRE;COMERCIAL DE GÁS MACHADO & DORNELLES LTDA.; 07.951.832/0001-32;RUA TENENTE ARY TARRAGO;2930;;JARDIM PLANALTO;91225-002;GLP;05/12/2023;108;;R$ / 13 kg;LIQUIGÁS
SE;SP;RIBEIRAO PRETO;OSVALDO DA SILVA DORAZZI RIBEIRÃO PRETO ME; 03.457.176/0001-65;AVENIDA CASPER LIBERO;1120;;PARQUE RIBEIRÃO PRETO;14031-190;GLP;04/12/2023;89,99;;R$ / 13 kg;BRANCA
S;RS;GRAVATAI;COMERCIO DE GAS SEVERO LTDA; 08.077.379/0001-40;AVENIDA AUGUSTO PESTANA;232;;MORADA DO VALE I;94110-180;GLP;05/12/2023;99;;R$ / 13 kg;ULTRAGAZ
N;PA;ALTAMIRA;M M GONÇALVES GARCIA - ME; 07.757.498/0001-80;AVENIDA ALACID NUNES;780-A;;UIRAPURU;68372-100;GLP;06/12/2023;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;RS;GRAVATAI;CRESCENCIO DE OLIVEIRA; 04.519.531/0001-46;AVENIDA PRESIDENTE KENNEDY;762;;VILA MARROCOS;94045-160;GLP;05/12/2023;108;;R$ / 13 kg;BRANCA
NE;AL;MACEIO;HIPERGÁS LTDA ME.; 07.854.580/0001-23;RUA BOA VISTA;444;;PRADO;57014-280;GLP;04/12/2023;90;;R$ / 13 kg;NACIONAL GÁS BUTANO
SE;MG;JOAO PINHEIRO;COUTO E DIAS COMERCIO DE GAS LTDA; 07.970.688/0001-81;RUA ALBERTINO MAIA;679;;ESPLANADA;38770-000;GLP;04/12/2023;105;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;CACAPAVA;TEREZINHA GARCIA PENA; 45.190.881/0001-99;AVENIDA DA SAUDADE;178;;CENTRO;12282-480;GLP;04/12/2023;84,99;;R$ / 13 kg;BRANCA
S;RS;SANTA ROSA;ANGST COMERCIO DE GAS EIRELI; 04.582.455/0001-13;RUA DOUTOR FRANCISCO TIMM;2595;;TIMBAUVA;98781-404;GLP;05/12/2023;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
S;RS;CANOAS;D. F. HEBERLE; 07.589.206/0001-48;RUA LIBERDADE;1478;;IGARA;92020-240;GLP;04/12/2023;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;GO;ANAPOLIS;H. A. UNIGAS LTDA - ME; 05.889.139/0001-51;AVENIDA SEBASTIÃO PEDRO JUNQUEIRA;2151;LOJA 01;VILA FORMOSA I ETAPA;75100-130;GLP;06/12/2023;100;;R$ / 13 kg;BRANCA
S;PR;FOZ DO IGUACU;IPE COMERCIO DE GAS LTDA; 08.158.676/0001-10;RUA MONTEIRO LOBATO;45;;VILA PORTES;85865-180;GLP;05/12/2023;95;;R$ / 13 kg;BRANCA
S;RS;SAO LUIZ GONZAGA;LEANDRO MATOS DE MELO - EPP; 01.867.622/0002-65;AVENIDA SENADOR PINHEIRO MACHADO;3460;;CENTRO;97800-000;GLP;04/12/2023;105;;R$ / 13 kg;ULTRAGAZ
SE;SP;SUMARE;COMÉRCIO DE GÁS MELQUIDES LTDA.; 02.119.267/0001-28;AVENIDA EMÍLIO BOSCO;714;;MATÃO;13180-000;GLP;05/12/2023;84,99;;R$ / 13 kg;BRANCA
SE;SP;SAO CARLOS;ANA LUZIA PALONI - ME; 06.930.823/0001-00;ALAMEDA  DOS CRISANTEMOS;699;;CIDADE JARDIM;13566-550;GLP;05/12/2023;123;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO JOSE DOS CAMPOS;MARQUES & MARQUES COMERCIO DE GAS LTDA; 01.019.351/0001-07;RUA BENEDITO BENTO;782;;JD MORUMBI;12236-580;GLP;07/12/2023;110;;R$ / 13 kg;ULTRAGAZ
SE;SP;CACAPAVA;MARQUES & MARQUES COMERCIO DE GAS LTDA; 01.019.351/0002-98;RUA GRAFINO MENDES DO PRADO;10;;VILA SANTA ISABEL;12284-380;GLP;04/12/2023;94,99;;R$ / 13 kg;ULTRAGAZ
